Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha 2018 Q3,Středočeský kraj 2018 Q3,Jihočeský kraj 2018 Q3,Plzeňský kraj 2018 Q3,Karlovarský kraj 2018 Q3,Ústecký kraj 2018 Q3,Liberecký kraj 2018 Q3,Královéhradecký kraj 2018 Q3,Pardubický kraj 2018 Q3,Kraj Vysočina 2018 Q3,Jihomoravský kraj 2018 Q3,Olomoucký kraj 2018 Q3,Moravskoslezský kraj 2018 Q3,Zlínský kraj 2018 Q3
Irsko,372,IE,IRL,124,14,5,13,4,4,0,3,3,3,10,2,6,3
Izrael,376,IL,ISR,59,11,1,0,3,3,1,2,1,0,3,1,1,1
Itálie,380,IT,ITA,581,73,26,27,19,41,11,7,14,5,88,31,48,38
Pobřeží slonoviny,384,CI,CIV,12,1,0,0,1,1,1,0,0,0,0,0,0,0
Jamajka,388,JM,JAM,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Japonsko,392,JP,JPN,48,8,0,0,0,3,0,2,2,0,5,2,1,1
Kazachstán,398,KZ,KAZ,338,93,2,5,27,48,10,7,3,3,9,8,4,1
Jordánsko,400,JO,JOR,16,4,0,0,2,4,1,0,2,0,2,0,3,1
Keňa,404,KE,KEN,2,1,0,0,0,2,1,0,0,0,1,0,2,0
Korejská lidově demokratická republika,408,KP,PRK,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Korejská republika,410,KR,KOR,48,2,1,2,0,0,0,0,0,1,1,0,7,0
Kuvajt,414,KW,KWT,2,1,0,0,0,0,0,0,0,0,1,0,0,0
Kyrgyzstán,417,KG,KGZ,41,8,1,1,18,5,1,0,0,0,2,1,0,1
Laos,418,LA,LAO,3,1,0,0,0,0,0,0,0,0,1,0,0,0
Libanon,422,LB,LBN,18,4,1,2,1,7,2,1,4,1,0,1,1,0
Lotyšsko,428,LV,LVA,52,9,10,5,1,4,1,1,0,9,3,0,1,2
Libérie,430,LR,LBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Libye,434,LY,LBY,7,1,0,0,0,0,0,1,0,0,5,0,1,0
Lichtenštejnsko,438,LI,LIE,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Litva,440,LT,LTU,56,15,4,14,3,3,5,3,2,18,16,0,1,1
Lucembursko,442,LU,LUX,5,0,0,0,0,1,0,0,0,0,0,0,0,0
Madagaskar,450,MG,MDG,3,0,0,0,0,0,1,0,1,0,1,0,1,0
Malajsie,458,MY,MYS,7,0,0,0,0,2,0,0,1,0,0,0,0,0
Mali,466,ML,MLI,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Malta,470,MT,MLT,6,1,1,0,0,1,0,1,0,0,0,0,1,0
Mauritánie,478,MR,MRT,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mauricius,480,MU,MUS,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexiko,484,MX,MEX,46,6,1,3,1,0,0,3,2,0,2,1,2,0
Mongolsko,496,MN,MNG,82,12,2,9,12,10,13,13,4,12,36,10,3,13
Moldavsko,498,MD,MDA,266,120,21,60,18,37,43,25,18,25,52,27,7,13
Černá Hora,499,ME,MNE,16,2,0,2,2,2,0,1,0,0,1,2,1,0
Maroko,504,MA,MAR,35,6,0,0,0,3,3,0,0,0,1,1,3,1
Namibie,516,,NAM,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Nepál,524,NP,NPL,4,1,0,3,0,0,0,0,0,0,1,0,0,0
Nizozemsko,528,NL,NLD,111,33,23,13,6,17,19,18,10,7,22,9,6,6
Nizozemské Antily,530,AN,ANT,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,548,VU,VUT,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Nový Zéland,554,NZ,NZL,17,4,0,0,0,2,3,1,1,0,3,0,1,1
Niger,562,NE,NER,12,2,0,0,0,0,0,0,0,0,1,0,0,0
Nigérie,566,NG,NGA,119,7,1,0,1,11,1,1,1,1,4,0,3,1
Norsko,578,NO,NOR,15,5,1,0,0,3,2,0,0,0,0,0,0,1
Pákistán,586,PK,PAK,44,10,0,5,1,5,0,2,0,1,4,1,1,0
Panama,591,PA,PAN,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,600,PY,PRY,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,604,PE,PER,19,10,0,0,0,5,0,1,0,0,7,1,2,0
Filipíny,608,PH,PHL,28,2,2,2,0,5,0,0,0,0,2,0,0,2
Polsko,616,PL,POL,432,173,37,60,33,114,144,303,63,22,124,146,823,38
Portugalsko,620,PT,PRT,49,5,0,4,2,1,2,1,1,2,9,1,5,1
Guinea-Bissau,624,GW,GNB,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Katar,634,QA,QAT,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Rumunsko,642,RO,ROU,661,168,49,233,33,100,30,39,55,32,142,46,14,51
