Občanství,Kód,Kód zn.,Kód zn.,Hlavní město Praha,Středočeský kraj,Jihočeský kraj,Plzeňský kraj,Karlovarský kraj,Ústecký kraj,Liberecký kraj,Královéhradecký kraj,Pardubický kraj,Kraj Vysočina,Jihomoravský kraj,Olomoucký kraj,Moravskoslezský kraj,Zlínský kraj
Afghánistán,004,AF,AFG,16,7,0,0,2,7,2,0,0,1,12,3,2,0
Albánie,008,AL,ALB,14,7,4,1,1,3,1,2,1,1,2,1,1,4
Alžírsko,012,DZ,DZA,92,19,4,0,1,7,2,1,1,1,8,3,2,1
Angola,024,AO,AGO,10,2,2,0,0,2,3,1,1,0,6,3,1,2
Ázerbájdžán,031,AZ,AZE,58,4,1,1,4,4,0,1,0,0,2,3,0,0
Argentina,032,AR,ARG,16,1,0,0,0,2,0,0,1,0,2,1,1,0
Austrálie,036,AU,AUS,52,3,5,3,0,5,4,4,6,0,5,3,2,3
Rakousko,040,AT,AUT,114,22,113,5,21,36,8,4,5,7,120,16,11,24
Bangladéš,050,BD,BGD,7,1,0,1,1,0,0,0,0,0,0,0,3,0
Arménie,051,AM,ARM,136,26,2,5,8,32,6,4,2,21,72,2,13,2
Belgie,056,BE,BEL,52,20,7,4,4,6,5,5,1,2,6,1,3,3
Bolívie,068,BO,BOL,4,2,0,0,0,1,1,0,0,0,1,0,0,0
Bosna a Hercegovina,070,BA,BIH,129,33,7,0,4,15,9,7,5,0,44,7,10,1
Botswana,072,BW,BWA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brazílie,076,BR,BRA,47,2,3,1,0,3,0,1,1,0,6,0,2,0
Britské Panenské ostrovy,092,VG,VGB,6,0,1,0,0,0,0,0,0,0,0,0,0,0
Kosovo,095,XK,XXK,11,5,0,4,4,4,0,2,1,1,4,1,2,0
Bulharsko,100,BG,BGR,701,232,57,63,29,111,39,23,27,47,123,78,65,25
Myanmar,104,MM,MMR,2,1,0,0,0,0,0,0,1,0,1,0,0,0
Bělorusko,112,BY,BLR,294,63,14,30,27,59,10,15,15,15,30,11,16,12
Kambodža,116,KH,KHM,2,3,0,0,0,0,1,0,0,0,1,0,0,2
Kamerun,120,CM,CMR,13,1,0,1,0,1,1,0,0,0,1,0,0,0
Kanada,124,CA,CAN,95,11,7,4,1,1,3,4,5,0,4,4,6,5
Šrí Lanka,144,LK,LKA,9,1,0,0,1,0,0,0,0,1,1,0,0,0
Čad,148,TD,TCD,19,9,4,9,0,6,3,11,3,1,9,3,4,0
Chile,152,CL,CHL,17,1,1,1,0,1,0,0,0,0,1,2,0,1
Čína,156,CN,CHN,168,26,5,5,1,22,0,2,4,3,6,2,7,2
Tchaj-wan,158,TW,TWN,6,0,0,1,1,1,0,0,0,0,0,0,0,0
Vánoční ostrov,162,CX,CXR,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kolumbie,170,CO,COL,17,3,0,1,0,0,0,2,2,0,3,1,2,0
Konžská republika,178,CG,COG,10,2,0,1,0,1,0,0,0,0,0,1,0,0
Demokratická republika Kongo,180,CD,COD,4,2,0,0,0,2,0,1,0,0,0,0,1,0
Kostarika,188,CR,CRI,2,2,0,0,0,0,0,0,0,0,1,0,0,0
Chorvatsko,191,HR,HRV,179,31,6,15,18,19,8,2,8,4,29,18,24,15
Kuba,192,CU,CUB,17,8,1,1,0,6,2,2,0,1,2,4,2,2
Kypr,196,CY,CYP,13,0,2,0,0,0,0,0,0,0,0,0,1,1
Česko,203,CZ,CZE,299394,250237,120828,103040,50342,124012,89448,104128,88496,84196,212422,104790,183735,106749
Benin,204,BJ,BEN,9,1,0,0,0,4,1,0,0,0,0,1,0,1
Dánsko,208,DK,DNK,45,6,0,1,1,4,1,0,0,1,3,0,4,1
